"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"173","FIU","PITT",-17.5,0.74,0.81,0.84,0.87,17,44,-4,"FIU","PITT","Lose"
"174","UTEP","NM",15,0.95,0.9,0.56,1.18,38,20,67,"UTEP","UTEP","Lose"
"175","DUKE","MARY",-9,0.9,1.11,1.06,0.81,16,21,-46,"MARY","DUKE","Win"
"176","NIU","AKR",13.5,0.97,0.91,0.82,1.1,50,14,34,"NIU","NIU","Lose"
"177","ASU","ORG ST",-3.5,0.95,0.82,0.96,1.01,28,31,18,"ASU","ASU","Lose"
"178","TTU","ISU",7,0.88,0.69,0.77,0.86,38,52,28,"TTU","ISU","Lose"
"179","TULSA","MEM",9,0.99,1,0.79,0.96,48,7,16,"TULSA","TULSA","Lose"
"180","SMU","RICE",11.5,0.9,0.89,0.71,0.96,42,31,26,"SMU","RICE","Lose"
"181","FAU","USF",-21,0.9,1.01,0.93,0.86,3,31,-18,"FAU","USF","Lose"
"182","GT","WAKE",10,1.04,0.94,0.94,1.04,24,20,20,"GT","WAKE","Lose"
"183","UGA","COL",4.5,0.91,0.89,0.83,0.82,27,29,1,"COL","COL","Win"
"184","LOU","ARK ST",6,0.82,0.95,0.9,1.07,34,24,4,"ARK ST","LOU","Win"
"185","WYO","TOLEDO",-4.5,0.77,1.04,0.83,0.78,20,15,-32,"TOLEDO","WYO","Win"
"186","ULL","NT",-4.5,0.77,0.96,0.79,1,28,27,2,"ULL","ULL","Lose"
"187","ND","BC",2.5,0.82,0.95,0.74,0.68,31,13,-19,"BC","ND","Win"
"188","MARSH","USM",-9,0.79,1,0.93,0.78,16,41,-36,"USM","USM","Win"
"189","LT","HAW",-8.5,0.7,0.91,0.99,0.97,21,41,-23,"HAW","HAW","Win"
"190","TROY","MTSU",-3,0.91,0.82,0.86,0.86,42,13,9.00000000000001,"TROY","TROY","Lose"
"191","UAB","UCF",-12,0.87,0.98,0.9,0.77,7,42,-24,"UCF","UCF","Win"
"192","NEB","KAN ST",10.5,1.1,0.67,1.06,0.8,48,13,17,"NEB","NEB","Lose"
"193","OKLA ST","ULL",24,1.11,0.8,0.83,0.96,54,28,44,"OKLA ST","OKLA ST","Lose"
"194","CONN","RUT",5,0.95,0.79,0.8,0.8,24,27,16,"CONN","RUT","Lose"
"195","AUB","UK",6,1.13,0.78,1.09,0.92,37,34,18,"AUB","UK","Lose"
"196","ALA","SC",7,1.15,0.64,0.98,0.86,21,35,39,"ALA","SC","Lose"
"197","IND","OSU",-23,1.1,1.02,1.13,0.63,10,38,-42,"OSU","OSU","Win"
"198","ORE","WSU",35.5,1.12,0.61,0.8,1.08,43,23,79,"ORE","WSU","Lose"
"199","TOLEDO","BOISE",-38.5,0.83,0.77,1.19,0.72,14,57,-41,"BOISE","BOISE","Win"
"200","WYO","TCU",-35,0.76,1,1.17,0.69,0,45,-72,"TCU","TCU","Win"
"201","ORG ST","ARZ",-8,1.01,0.95,1.02,0.66,29,27,-30,"ARZ","ORG ST","Win"
"202","UTAH","ISU",6,1.17,0.73,0.86,0.88,68,27,46,"UTAH","UTAH","Lose"
