Year,Week,Away Team,Home Team,Line,Over/Under,ATOR,ATDR,HTOR,HTDR,Score,Neutral
2010,8,KENT,BGSU,2.5,,0.71,0.74,0.76,0.97,30-6,
2010,8,WMU,AKR,7.5,,0.78,0.87,0.74,1.10,56-10,
2010,8,GT,CLEM,-4,,1.02,0.86,0.93,0.78,13-27,
2010,8,CONN,LOU,-3,,0.93,0.82,1.01,0.88,0-26,
2010,8,ASU,CAL,-3,,0.92,0.87,1.01,0.78,17-50,
2010,8,TTU,COL,2.5,,0.93,0.91,0.87,0.90,27-24,
2010,8,RICE,UCF,-22.5,,0.82,1.03,0.96,0.72,14-41,
2010,8,HOU,SMU,-8.5,,0.97,0.91,0.94,0.92,45-20,
2010,8,CMU,NIU,10,,0.83,0.88,1.05,0.85,7-33,
2010,8,MARSH,ECU,-12.5,,0.76,1.02,0.91,0.99,10-37,
2010,8,ULM,MTSU,-12,,0.78,0.98,0.76,0.96,10-38,
2010,8,NMSU,IDA,-24,,0.76,1.13,0.89,0.78,14-37,
2010,8,WKU,ULL,-6,,0.88,1.18,0.79,0.93,54-21,
2010,8,HAW,USU,3.5,,1.02,0.88,0.89,0.91,45-7,
2010,8,EMU,UVA,-24,,0.85,1.15,0.86,0.94,21-48,
2010,8,BALL,TOLEDO,-11,,0.82,0.97,0.82,0.86,24-31,
2010,8,TEXAM,KAN,14,,0.81,0.77,0.82,1.09,45-10,
2010,8,UNC,MIAFL,-6.5,,0.96,0.78,0.85,0.68,10-33,
2010,8,UGA,UK,4,,1.01,0.86,1.07,0.97,44-31,
2010,8,FRESNO,SJSU,19,,0.98,0.94,0.70,1.09,33-18,
2010,8,TULANE,UTEP,-10,,0.79,0.98,0.95,0.89,34-24,
2010,8,SDSU,NM,23.5,,1.06,0.80,0.57,1.08,30-20,
2010,9,LT,BOISE,-38,,0.81,0.93,1.23,0.66,20-49,
